pitch_mean,pitch_std,speech_rate,silence_ratio,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,mfcc_means,mfcc_kurtosis,mfcc_skewness,file_name
1723.9075927734375,1133.237060546875,151.99908088235293,0.4838535795270489,2611.605182954681,2404.904908416981,5063.751188323732,"[-189.37081909179688, 83.07364654541016, -1.8370411396026611, 2.8386082649230957, -17.057466506958008, -3.7235946655273438, -21.761573791503906, -8.209687232971191, -11.692115783691406, -3.8501579761505127, -14.739387512207031, 3.4165842533111572, -6.782371520996094]","[-0.7584574450027537, -0.3249951292165605, 0.9768638365330489, 0.8354068695403094, 1.293009223243918, -0.4890572919811076, -0.7449310726117528, 0.14515430924255268, 0.2799222434709083, 0.373607800341754, 0.6762034620277171, 0.22876529790013933, 0.6211913035454155]","[0.19660237651771625, -0.0760730264911529, -0.025174607575900985, -0.4434083403244583, -1.049070163377487, -0.6659065418843235, -0.5939704927070649, -0.5588159486571596, -0.5725502231227942, -0.8089847238259862, -0.5036803671578379, 0.22110479633734903, -0.6023660012730874]",adrso020.mp3
1033.6920166015625,924.8789672851562,123.046875,0.6150845979417408,2265.128291695753,2338.5866099333534,4607.012786865234,"[-279.657958984375, 102.80130767822266, 3.50034236907959, 9.313638687133789, -16.24196434020996, -1.3425729274749756, -4.90974760055542, -6.719686031341553, -5.875833034515381, 2.21474552154541, -3.858773946762085, 10.884053230285645, -3.4522643089294434]","[-0.8155947979969316, 0.9158618106975043, 1.4812721463089753, 1.4971736233383783, 0.524180739015677, 0.6412949091209774, 0.9155879623263328, 0.4258380230757557, 0.8909244768095794, 0.3342958592639751, 0.4748002115864205, 1.0738364519279795, 0.2405886247801199]","[0.43959175623255103, -0.7520273838174086, -0.49506561932212373, 0.05567408031068899, -0.786977878900678, -0.4257717662585567, -0.9113703852036803, -0.7650950748811423, -0.8789591467131961, -0.49417432837903824, -0.6124156639147782, -0.07983781488904229, -0.7045475357826831]",adrso021.mp3
1471.250732421875,1122.717041015625,123.046875,0.4645337731052017,2490.4617600075217,2248.371498923647,4687.65869140625,"[-356.9331970214844, 81.00947570800781, -7.8147149085998535, 17.6088809967041, -14.928866386413574, -8.227582931518555, -26.801555633544922, -8.08508586883545, -14.670405387878418, -5.831840991973877, -10.699188232421875, -3.948660373687744, -11.258185386657715]","[-0.5424560280932678, 0.06686833306150541, 0.20796410148185807, 0.3586725272446456, 3.029214519494989, -0.06141266660043598, -0.654780059338576, 0.536186458445516, 0.17529981399901962, 0.3369168000139471, 0.20348397242607996, 0.4766086494173596, 1.111795836373914]","[0.016196053671335333, -0.5877229542548484, 0.001883910670693787, 0.10398654004330089, -1.3516812312405309, -0.43964043669991226, -0.36246627458736486, -0.6786449351858359, -0.5218684126707395, -0.3976364506265387, 0.038258869426559976, -0.04348160284061387, -0.5190777441780758]",adrso022.mp3
1376.1278076171875,950.5093383789062,135.99917763157896,0.5921088435374149,2376.9778249512674,2221.915533137059,4645.509796142578,"[-200.28294372558594, 90.61270904541016, -18.70496368408203, 24.749969482421875, -6.444856643676758, 5.839658737182617, -9.651497840881348, -3.73102068901062, -3.235384941101074, -3.808161735534668, -12.498503684997559, -0.8483706712722778, -12.233833312988281]","[0.16510403095671888, 2.616735026149426, 2.1928047256561776, 2.6598352453553025, 1.7699828033604064, 1.177752840604076, 1.013272166068485, 1.9972534065271006, 1.4422327938121269, 1.5384332171125168, 1.04807318818016, 1.3565145466525177, 1.4534319433381873]","[0.9189939020257921, -1.505053678588493, 0.5486550167006614, -0.1037300682057344, -1.2305071971342951, -0.48952793103958947, -0.9089955742072836, -0.4108418771118042, -0.3155945282822484, 0.6743588972597265, -0.3311275044823616, 0.24512060948765216, -0.6448445657649515]",adrso023.mp3
595.1133422851562,502.0658874511719,123.046875,0.5821449806891894,1002.2398902283913,1613.1867334315004,1605.025006326456,"[-367.4310607910156, 166.25314331054688, 20.03339385986328, 17.827409744262695, 8.96510124206543, -8.618814468383789, -8.564228057861328, -16.087522506713867, -6.759413242340088, -3.0528557300567627, -4.25998592376709, -2.7747020721435547, -6.020261764526367]","[0.7296384947606356, 0.46681620974283433, 2.7493926750116326, 2.2742561506793075, 1.7837021157047017, 1.6675783481857431, 2.444417230015926, 1.4734646979267394, 2.1616561272747274, 1.4831546205372907, 0.9982164227440324, 0.9602306924091253, 1.4384002049210416]","[0.40911035575313903, 0.0009480162510208676, -1.2588025070986957, 0.9538904077194247, -0.144716066787829, -0.7890738067039395, 0.5286163532974192, -0.9149200091395017, -0.7423155447991758, 0.1023083853178565, 0.028108363401439067, 0.08065768126039656, 0.17221322322451277]",adrso024.mp3
1239.51220703125,972.6919555664062,117.45383522727273,0.9141150757007048,2133.21479087175,2442.356984792053,4602.788870675223,"[-466.2376403808594, 100.9232177734375, 2.3620002269744873, 23.379568099975586, 5.724719524383545, -2.297106981277466, -0.7347185015678406, -5.134535312652588, -7.468467712402344, -2.107910394668579, -1.555227279663086, -5.629489898681641, -2.6842572689056396]","[4.138848713756854, 0.44541758078471005, 6.0708676932469245, 4.147775117695715, 4.650402952430745, 3.3295793789575416, 2.256716631909562, 0.8786493817778163, 2.1764763933839184, 1.5310694440270192, 1.3313407494094056, 1.9890488495160064, 1.3457796825429584]","[1.4989426637252479, 0.37492104219852723, -2.1314804190227075, 0.18327920083730426, -1.4529453082244526, -1.2278556727104335, -1.328294820178413, -0.9646694693152241, 0.09133418007253549, -0.16798924072883237, -0.20948003716866678, 0.470876090810344, -0.05793988581949405]",adrso025.mp3
860.6921997070312,686.982666015625,117.45383522727273,0.7702962893728386,2561.0022109543925,2944.41718466776,6284.737754626372,"[-467.8382263183594, 90.931640625, 19.69438934326172, 16.07645606994629, 9.592086791992188, 5.483448505401611, -0.23886644840240479, 3.940899610519409, -2.3290529251098633, 5.902249336242676, 1.738630771636963, 3.106323003768921, -2.1465277671813965]","[16.45471222483105, 2.825290882402351, 18.33318469722591, 5.728376943185019, 4.981772493954842, 3.92878851650248, 2.7034688945320893, 3.378543772747536, 5.941866975826798, 3.849624991035153, 3.79440747368162, 4.876543560306378, 1.9314565968209116]","[2.987347558715494, 1.619012538598239, -3.1103703762983543, -1.5937940698895976, -1.3374225749873563, -1.6103143706442247, -1.1970560626352034, 0.8070488260202547, -0.9584334618866222, 0.5662436440099604, -1.0062310549812834, -0.35522414370520455, -0.05148302557875599]",adrso027.mp3
633.27099609375,468.5148010253906,135.99917763157896,0.8977416688412696,1873.7310052947078,2580.6382652006423,4590.754367202076,"[-446.8915100097656, 114.93242645263672, 24.389875411987305, 10.953638076782227, 8.408737182617188, 4.880605697631836, -3.6426830291748047, 0.9809287190437317, -0.6400235891342163, -2.2234370708465576, -1.954419493675232, -2.997437000274658, -3.2096450328826904]","[8.598776885648416, 4.062254478437668, 8.073878093052944, 3.364188563551349, 6.866877222047783, 6.4268672789574115, 2.675349215322403, 5.238244350166896, 3.708657933235413, 2.414304994729884, 2.978710006688618, 1.551071097714824, 2.592259898042493]","[2.6315748879911887, 1.035602007270403, -2.697954891542181, 0.3177678638766395, -1.4337300325394542, -1.782320414240219, -1.5533813371256748, 0.05681107101577726, 0.7241449073992741, -0.3993275659912072, 0.15029052670512463, -0.24560346320816054, -0.7265114622101122]",adrso028.mp3
1173.2235107421875,1015.4300537109375,123.046875,0.6991484267042143,2431.803339829877,2453.095740802789,5187.667966683565,"[-390.7635803222656, 89.86689758300781, 4.3091654777526855, 32.33869552612305, -9.572518348693848, 10.675395965576172, -8.002738952636719, 3.828260660171509, -2.8107824325561523, -0.22303363680839539, 0.7865458130836487, -3.351696729660034, -3.4919447898864746]","[1.0238160535344436, 1.3300310422198187, 4.717004536161497, 1.491887455500513, 0.5238174815401155, 2.2049792843326106, 1.0315047436533389, 1.8332228308137557, 1.3291473527808275, 1.023184959815711, 1.264612749854849, 0.5408616869019696, 1.2971181367627649]","[0.9967744286752012, -0.5475798701005365, -1.6631425263082487, 0.84994923281316, -1.0346852057578286, 0.14553612793972714, -0.9937370830627176, -0.32904654105030356, -0.4129998073365583, -0.6823414959218216, 0.19922768925974912, 0.1344927771447641, -0.6119517481362247]",adrso029.mp3
1342.227294921875,1023.8223266601562,129.19921875,0.9936621280166343,3147.649355211063,3076.4204750752606,7102.825880609719,"[-518.9803466796875, 66.62641906738281, 15.087250709533691, 14.269731521606445, 5.977890491485596, 8.908522605895996, 3.6225409507751465, 0.6282986998558044, 0.4177570939064026, 0.5047796368598938, -2.8186817169189453, 0.6941954493522644, -1.0651005506515503]","[17.932399785940085, 3.0972064240904267, 11.131210890106384, 5.537268816972043, 3.359572416216757, 6.71062590643683, 1.9409344476459687, 1.165033219532142, 2.6832351498075644, 3.3329887470703135, 1.2313660105760382, 1.5552859779631145, 1.9127068399232927]","[2.869010547655991, 0.8937113557898834, -2.398361288281276, -0.4210764804187077, -1.4566395587016323, -1.6905075915167962, -1.0385658261080477, -0.7139018226791318, 0.5618159460605141, -0.46080243047223, -0.7045993004516667, -0.08999736352519136, -0.21019227043483393]",adrso031.mp3
342.8658752441406,307.09698486328125,123.046875,0.00036354930526616425,1804.4062773281594,2651.9984093839703,4975.083174035904,"[-443.3968811035156, 93.32567596435547, 35.99254608154297, 25.17767333984375, 3.2322559356689453, 31.987552642822266, 3.3886191844940186, 5.207981109619141, 7.696750164031982, 3.370941400527954, 2.4175074100494385, 5.919467926025391, 3.263676643371582]","[6.581448370069941, 2.5997866426957055, 8.516124008900295, 4.503879501290068, 5.2710339424671915, 4.955801050236034, 1.3610546424128582, 1.4133952950127933, 1.9793298380807673, 2.5901492963319344, 6.003961709452527, 6.540404109481186, 9.941551753825944]","[2.0005145186225732, 0.6248583955950483, -2.268364187779016, 0.4910975257894546, -1.9096916448977246, -0.07430975867890503, -1.099207974537139, -0.9737557086439889, -0.016069481149391066, -0.9091063013836829, -1.335572599504101, 0.5100886477353089, 1.1446173692317358]",adrso032.mp3
966.0814208984375,679.5018920898438,123.046875,0.71756513875544,1985.0042965430248,2484.266774068436,4388.645617167155,"[-447.1795349121094, 114.92124938964844, 3.6259641647338867, 10.852119445800781, 6.9010539054870605, -0.2668941020965576, -1.6322928667068481, 1.431771993637085, -6.998042583465576, 1.1720420122146606, -2.126987934112549, 1.4309570789337158, -3.501075267791748]","[1.607263665443945, 0.038066138717752995, 2.827585731811231, 6.808322517207246, 8.592878146916192, 3.7148404740461567, 4.490974527470409, 3.5016146399802013, 4.687949219885947, 1.5822129573470844, 3.787358898926489, 1.404445312745902, 0.9737344257124518]","[0.8383093541123997, 0.13815221975319242, -1.1368440873903916, 0.5311005983363629, -1.877051938790704, -1.105340398633944, -0.20730776263355383, -0.9332187317823927, -1.1606999689350141, 0.15320970622954147, -1.0619546622617926, 0.13540837410036977, 0.09016099522936759]",adrso033.mp3
